Metadata name,Units,Type,Mandatory,Description
site_a_latitude,Decimal degrees,float16, True,
site_a_longitude,Decimal degrees,float16, True,
site_a_altitude,Meter,float16, False,
site_a_antenna_above_ground,Meter,float16, False,
site_a_id,-,string, False,
site_b_latitude,Decimal degrees,float16, True,
site_b_longitude,Decimal degrees,float16, True,
site_b_altitude,Meter,float16, False,
site_b_antenna_above_ground,Meter,float16, False,
site_b_id,-,string, False,
length,Kilometer,float16, False,Strongly recommended
cml_id,-,string, True,
cml_owner,-,string, False,
cml_operator,-,string, False,
system_manufacturer,-,string, False,
system_model,-,string, False,
system_configuration,-,string, False,Options are: ‘1+0’ ‘1+1_SD ’ ‘1+1_HSB’ (‘2+0’) HSB = Hot standby SD = Space diversity
